County,Adams,Burke,Clinton,De La Fuente,Elbot,French,Greenstein,Hewes,Hutton,Judd,Kelso,Lipscomb,Locke,Lovitt,"McGaughey, Jr.",Moroz,"O'Donnell, Jr.",O'Malley,Sanders,Schwass,Sloan,Sonnino,Steinberg,Supreme,Thistle,Valentine,Weil,Wolfe
Belknap,4,4,"3,495",5,1,1, -   , -   , -   ,2,4, -   ,2,2, -   ,1,2,35,"6,005",6,2, -   , -   ,10,12,2, -   ,3
Carroll,2,3,"3,230",4,2,2,2,,,1,1,,1,2,2,,5,20,"5,638",4,1,,,11,6,,,
Cheshire,3,7,"5,132",8,4,2,2,1, -   ,4,3,2,1,1,1, -   ,1,42,"12,441",5,2,1,2,14,6,1,1,6
Coos,1,6,"2,013",4, -   , -   ,1, -   , -   ,1, -   ,1, -   ,1,1, -   ,1,20,"3,639",4,1,2, -   ,1,10, -   , -   , -   
Grafton,4,9,"6,918",4,1,3,1,1, -   ,2,2,2,1,1, -   ,2, -   ,41,"14,245",5, -   , -   ,1,9,14, -   , -   ,5
Hillsborough,13,35,"28,147",36,12,6,7,10,5,13,12,2,5,4,4,24,11,202,"39,245",32,4,6,11,82,91,13,4,17
Merrimack,4,7,"12,250",6,3,5,6,2,1,6,3,2,8,3,2, -   ,3,78,"18,107",21,1,4,4,39,24,1,3,4
Rockingham,17,20,"22,829",19,12,7,3,4,3,9,14,4,9,4,8, -   ,2,123,"31,065",41,2,3, -   ,54,40,3, -   ,12
Strafford,3,9,"8,813",7,1,2,6, -   ,4,4,3, -   ,3,2,1, -   ,1,72,"15,881",20, -   ,1,2,31,15,2, -   ,6
Sullivan,2,7,"2,497",2, -   ,1,1, -   ,1,2,4,1,2,1, -   , -   , -   ,27,"5,915",4,1, -   ,1,14,5,2, -   ,1
